Latitude,Longitude,Name,Street,City,State,Zip Code
39.84278,-86.1299,Capitol City Seventh-Day Adventist Church,1801 East 49th Street,Indianapolis,IN,46205
39.78797,-86.1793,Mount Olive Missionary Baptist Church,1003 West 16th Street,Indianapolis,IN,46202
39.75826,-86.23589,Fleming Garden Christian Church,530 South Taft Avenue,Indianapolis,IN,46241
39.80286,-86.0017,First Church Of The Nazarene,9401 East 25th Street,Indianapolis,IN,46229
39.83032,-86.12092,Masjid Al Mumineen,4088 Millersville Road,Indianapolis,IN,46205
39.81037,-86.17641,Barnes United Methodist Church,900 West 30th Street,Indianapolis,IN,46208
39.82561,-86.07768,New Direction Church,5330 East 38th Street,Indianapolis,IN,46218
39.75796,-86.09207,New Vision Missionary Baptist Church,4501 Fletcher Avenue,Indianapolis,IN,46203
39.80019,-86.13182,Mount Nebo Missionary Baptist Church,2325 Hovey Street,Indianapolis,IN,46218
39.81467,-86.12576,"New Vision Ministries, Inc.",2056 East 32nd Street,Indianapolis,IN,46218
39.82372,-86.04472,Walk By Faith Christian Ministries,3709 North Shadeland Avenue,Indianapolis,IN,46226
39.720712,-86.135111,One Body Ministries,3132 Carson Avenue,Indianapolis,IN,46227
39.73045,-86.3204,Bridgeport Central Baptist Church,9039 West Washington Street,Indianapolis,IN,46231
39.80738,-86.20361,Indianapolis Muslim Community Association (IMCA),2846 Cold Spring Road,Indianapolis,IN,46222
39.82828,-85.98577,The Rock Missionary Baptist Church,10302 East 38th Street,Indianapolis,IN,46235
39.76736,-86.20166,Hawthorne Community Center,70 North Mount Street,Indianapolis,IN,46222
39.68711,-86.13583,Hunger Inc.,1416 East Epler Avenue,Indianapolis,IN,46227
39.83917,-86.15083,Northwood Christian Church,4550 Central Avenue,Indianapolis,IN,46205
39.79704,-86.02581,Old Bethel United Methodist Church,8032 East 21st Street,Indianapolis,IN,46219
39.78944,-86.06703,Greater One Way Apostolic Church,5840 East 16th Street,Indianapolis,IN,46218
39.75142,-86.19189,Billie's Food Pantry,1754 West Morris Street,Indianapolis,IN,46222
39.77531,-85.95737,Community Outreach Ministry Eastside (COME),116 South Muessing Street,Indianapolis,IN,46229
39.7127,-86.11106,Church Of Acts,3740 South Dearborn Street,Indianapolis,IN,46237
39.72977,-86.14017,Garfield Park Baptist Church,1061 East Southern Avenue,Indianapolis,IN,46203
39.76777,-86.09739,Shepherd Community Center,4107 East Washington Street,Indianapolis,IN,46201
39.82607,-86.09747,Shiloh Missionary Baptist Church,3801 Forest Manor Avenue,Indianapolis,IN,46226
39.77046,-86.09704,Tuxedo Park Baptist Church,29 North Grant Avenue,Indianapolis,IN,46201
39.79061,-86.13467,Saint John's Missionary Baptist Church,1701 Dr. Andrew J. Brown Avenue,Indianapolis,IN,46202
39.78083,-86.21426,Jr Dalton,3326 West 10th Street,Indianapolis,IN,46222
39.85468,-86.11697,Glory Point,2809 East 56th Street,Indianapolis,IN,46220
39.83426,-85.99889,Mount Carmel Church,9610 East 42nd Street,Indianapolis,IN,46235
39.81004,-86.11458,Society Of Saint Vincent De Paul - Indianapolis,3001 East 30th Street,Indianapolis,IN,46218
39.91364,-86.14829,First Baptist Church Of Indianapolis,8600 North College Avenue,Indianapolis,IN,46240
39.77164,-86.1935,Anna's House,303 North Elder Avenue,Indianapolis,IN,46222
39.79909,-86.13508,Trinity Christian Methodist Episcopal Church,2253 Dr. Andrew J. Brown Avenue,Indianapolis,IN,46205
39.69291,-86.11751,Saint Timothy Episcopal Church,2601 East Thompson Road,Indianapolis,IN,46227
39.8609,-86.26958,Life Church,5901 Lafayette Road,Indianapolis,IN,46254
